Job Title Clean,Skill,Skill Type,Bucket
Management Consultant,MBA or graduate degree,Preferred,Education/Degree Mention
Management Consultant,GenAI/ML/AI-platform application experience,Preferred,Technical
Management Consultant,"Power BI, Tableau, Alteryx, Adobe Analytics, Google Analytics",Preferred,Technical
Management Consultant,familiarity with LLM tooling/AI platform strategy,Preferred,Technical
AI & Data Decision Science Consultant,"Agent-based modeling, reinforcement learning, autonomous systems",Preferred,Technical
AI & Data Decision Science Consultant,program management/communication skills,Preferred,Soft Skills
AI & Data Decision Science Consultant,"Master's in Data Science, CS, Statistics, or related field",Preferred,Education/Degree Mention
"Strategy Manager, Technology & AI-Native Companies",MBA or graduate degree,Preferred,Education/Degree Mention
"Strategy Manager, Technology & AI-Native Companies",hands-on GenAI/ML/AI-platform experience,Preferred,Technical
"Strategy Manager, Technology & AI-Native Companies","Power BI, Tableau, Alteryx, Adobe Analytics, Google Analytics",Preferred,Technical
"Strategy Manager, Technology & AI-Native Companies",familiarity with LLM tooling/AI platform strategy,Preferred,Technical
AI-First Transformation Strategy Consultant,Strategy/transformation/operations background,Preferred,Business Acumen
AI-First Transformation Strategy Consultant,technology/product/analytics background,Preferred,Soft Skills
AI-First Transformation Strategy Consultant,finance/value creation/operating model design,Preferred,Technical
AI-First Transformation Strategy Consultant,AI/automation/workflow modernization exposure,Preferred,Soft Skills
Associate Data Scientist 2027,"LLMs, embeddings, vector databases, RAG",Preferred,Technical
Associate Data Scientist 2027,"orchestration frameworks (LangChain, LangGraph, LlamaIndex, Semantic Kernel, AutoGen, MCP)",Preferred,Technical
Associate Data Scientist 2027,"Git, containers, APIs, CI/CD, MLOps/LLMOps",Preferred,Technical
Associate Data Scientist 2027,"cloud platforms (AWS, Azure, GCP)",Preferred,Technical
Advisory Data Scientist,Lakehouse architectures (IBM watsonx.data),Preferred,Technical
Advisory Data Scientist,"ML workflow exposure (feature engineering, model evaluation, deployment)",Preferred,Technical
Advisory Data Scientist,"data governance (lineage, contracts, access controls)",Preferred,Technical
Advisory Data Scientist,streaming/real-time analytics (Kafka),Preferred,Technical
Advisory Data Scientist,quantum computing interest,Preferred,Business Acumen
"Consultant, Data & AI Engineer","Snowflake Cortex (LLM functions, Search, Analyst, Agents)",Preferred,Technical
"Consultant, Data & AI Engineer",agentic/multi-step systems (MCP integrations),Preferred,Technical
"Consultant, Data & AI Engineer",LLM evaluation/observability/tracing,Preferred,Technical
"Consultant, Data & AI Engineer","ingestion tools (Fivetran, Matillion, Openflow/NiFi)",Preferred,Technical
"Consultant, Data & AI Engineer","AI coding tools (Claude Code, Copilot, Cursor)",Preferred,Technical
"Consultant, Data & AI Engineer","industry exposure (healthcare, financial services, supply chain, retail/CPG)",Preferred,Business Acumen
"Consultant, Data & AI Engineer",Scala/JavaScript,Preferred,Technical
"Reporting Analyst, Entry Level 2027","Data visualization/analytics tools (Envizi, Power BI, Tableau, Python, SQL)",Preferred,Technical
"Reporting Analyst, Entry Level 2027",AI/automation tool familiarity,Preferred,Soft Skills
"Reporting Analyst, Entry Level 2027","sustainability disclosure frameworks (GRI, CDP)",Preferred,Business Acumen
"Reporting Analyst, Entry Level 2027",market research/benchmarking experience,Preferred,Business Acumen
